,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,Cruz Azul,17,13,2,2,26,11,+15,41,2.41,23.0,18.1,+4.9,+0.29,→ Quarter-finals
1,2,América,17,12,2,3,26,14,+12,38,2.24,22.6,15.3,+7.3,+0.46,→ Quarter-finals
2,3,Puebla,17,7,7,3,25,14,+11,28,1.65,23.9,20.7,+3.2,+0.19,→ Quarter-finals
3,4,Monterrey,17,8,4,5,22,13,+9,28,1.65,30.2,14.7,+15.5,+0.91,→ Quarter-finals
4,5,Santos,17,7,5,5,18,13,+5,26,1.53,19.6,19.5,0.0,0.00,→ Reclassification
5,6,León,17,8,2,7,25,23,+2,26,1.53,27.7,21.6,+6.1,+0.36,→ Reclassification
6,7,Atlas,17,7,4,6,20,15,+5,25,1.47,22.5,14.5,+8.0,+0.50,→ Reclassification
7,8,Pachuca,17,6,5,6,20,19,+1,23,1.35,22.8,20.0,+2.9,+0.17,→ Reclassification
8,9,Guadalajara,17,5,8,4,21,21,0,23,1.35,20.5,19.1,+1.4,+0.08,→ Reclassification
9,10,UANL,17,6,5,6,19,20,-1,23,1.35,25.2,16.8,+8.3,+0.49,→ Reclassification
10,11,Toluca,17,6,4,7,26,24,+2,22,1.29,20.2,27.5,-7.3,-0.43,→ Reclassification
11,12,Querétaro,17,6,3,8,19,25,-6,21,1.24,16.8,24.7,-7.9,-0.46,→ Reclassification
12,13,Mazatlán,17,6,3,8,19,26,-7,21,1.24,18.6,22.4,-3.8,-0.23,
13,14,Tijuana,17,5,5,7,19,21,-2,20,1.18,21.2,27.9,-6.7,-0.39,
14,15,UNAM,17,4,6,7,10,12,-2,18,1.06,16.7,22.7,-6.1,-0.36,
15,16,FC Juárez,17,4,3,10,13,29,-16,15,0.88,17.7,24.6,-6.8,-0.40,
16,17,Atlético,17,3,3,11,20,33,-13,12,0.71,19.7,31.8,-12.1,-0.71,
17,18,Necaxa,17,2,5,10,14,29,-15,11,0.65,19.7,26.5,-6.9,-0.40,
