,rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
0,1,UANL,17,9,6,2,30,15,+15,33,1.94,28.1,19.6,+8.5,+0.50,17,8,4,5,26,19,+7,28,1.65,22.5,19.1,+3.5,+0.20
1,2,América,17,10,4,3,25,11,+14,34,2.00,23.9,14.0,+9.9,+0.58,17,7,6,4,20,16,+4,27,1.59,22.9,14.5,+8.4,+0.49
2,3,Atlas,17,7,5,5,16,12,+4,26,1.53,19.3,17.3,+2.1,+0.12,17,8,6,3,26,13,+13,30,1.76,20.0,19.5,+0.6,+0.04
3,4,Pachuca,17,8,7,2,24,12,+12,31,1.82,26.6,16.3,+10.4,+0.61,17,8,1,8,25,24,+1,25,1.47,24.5,24.9,-0.4,-0.02
4,5,Puebla,17,5,8,4,20,18,+2,23,1.35,25.3,21.5,+3.8,+0.22,17,8,3,6,21,17,+4,27,1.59,23.7,29.0,-5.3,-0.31
5,6,León,17,5,7,5,21,19,+2,22,1.29,30.5,21.3,+9.2,+0.54,17,8,4,5,16,17,-1,28,1.65,19.9,20.9,-1.0,-0.06
6,7,Cruz Azul,17,7,3,7,20,17,+3,24,1.41,19.6,14.9,+4.7,+0.28,17,5,9,3,21,17,+4,24,1.41,19.3,22.8,-3.5,-0.20
7,8,Monterrey,17,9,5,3,22,10,+12,32,1.88,28.6,15.7,+12.9,+0.76,17,3,7,7,18,23,-5,16,0.94,22.3,17.9,+4.4,+0.26
8,9,Guadalajara,17,7,4,6,23,22,+1,25,1.47,19.8,17.6,+2.3,+0.13,17,5,8,4,15,12,+3,23,1.35,15.4,14.4,+1.0,+0.06
9,10,Santos,17,5,9,3,25,20,+5,24,1.41,25.0,18.8,+6.2,+0.36,17,5,5,7,23,21,+2,20,1.18,22.5,29.5,-7.0,-0.41
10,11,UNAM,17,8,5,4,25,17,+8,29,1.71,23.2,21.1,+2.1,+0.12,17,3,5,9,16,27,-11,14,0.82,18.1,28.2,-10.2,-0.60
11,12,Atlético,17,5,4,8,18,25,-7,19,1.12,25.3,19.8,+5.4,+0.32,17,6,6,5,22,20,+2,24,1.41,22.4,25.9,-3.5,-0.21
12,13,Necaxa,17,7,0,10,18,23,-5,21,1.24,21.7,21.7,+0.1,0.00,17,6,4,7,19,20,-1,22,1.29,19.7,20.1,-0.5,-0.03
13,14,Toluca,17,5,6,6,25,28,-3,21,1.24,24.9,24.5,+0.4,+0.02,17,6,4,7,18,30,-12,22,1.29,16.8,29.9,-13.1,-0.77
14,15,Mazatlán,17,8,5,4,23,19,+4,29,1.71,19.6,22.0,-2.5,-0.15,17,3,3,11,15,29,-14,12,0.71,11.9,30.4,-18.4,-1.08
15,16,Querétaro,17,6,3,8,18,19,-1,21,1.24,22.5,21.0,+1.5,+0.09,17,0,11,6,11,21,-10,11,0.65,16.5,25.5,-9.0,-0.53
16,17,Tijuana,17,5,8,4,19,19,0,23,1.35,27.5,18.8,+8.8,+0.52,17,2,3,12,11,34,-23,9,0.53,14.2,32.4,-18.2,-1.07
17,18,FC Juárez,17,4,3,10,16,25,-9,15,0.88,15.1,21.0,-5.9,-0.35,17,3,3,11,8,28,-20,12,0.71,14.1,21.7,-7.6,-0.45
