,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,León,17,12,4,1,27,14,+13,40,2.35,26.3,19.0,+7.3,+0.43,→ Quarter-finals
1,2,UNAM,17,8,8,1,29,17,+12,32,1.88,23.4,26.0,-2.6,-0.15,→ Quarter-finals
2,3,América,17,9,5,3,31,22,+9,32,1.88,24.7,26.3,-1.6,-0.09,→ Quarter-finals
3,4,Cruz Azul,17,9,2,6,23,16,+7,29,1.71,28.9,18.4,+10.5,+0.62,→ Quarter-finals
4,5,Monterrey,17,8,5,4,26,21,+5,29,1.71,28.7,23.1,+5.6,+0.33,→ Reclassification
5,6,UANL,17,7,7,3,27,16,+11,28,1.65,25.4,17.3,+8.1,+0.47,→ Reclassification
6,7,Guadalajara,17,7,5,5,20,17,+3,26,1.53,23.0,20.5,+2.5,+0.15,→ Reclassification
7,8,Santos,17,7,4,6,24,20,+4,25,1.47,24.4,19.7,+4.7,+0.28,→ Reclassification
8,9,Pachuca,17,6,7,4,18,14,+4,25,1.47,21.6,16.5,+5.1,+0.30,→ Reclassification
9,10,Necaxa,17,7,3,7,16,20,-4,24,1.41,20.0,21.3,-1.3,-0.08,→ Reclassification
10,11,Toluca,17,6,3,8,23,28,-5,21,1.24,24.7,29.0,-4.4,-0.26,→ Reclassification
11,12,Puebla,17,6,2,9,22,25,-3,20,1.18,18.3,28.9,-10.6,-0.62,→ Reclassification
12,13,FC Juárez,17,4,7,6,16,19,-3,19,1.12,16.9,24.8,-7.9,-0.47,
13,14,Mazatlán,17,4,4,9,24,31,-7,16,0.94,19.6,29.1,-9.5,-0.56,
14,15,Tijuana,17,4,3,10,12,27,-15,15,0.88,22.0,21.0,+1.0,+0.06,
15,16,Atlas,17,3,5,9,13,20,-7,14,0.82,18.0,22.5,-4.5,-0.27,
16,17,Querétaro,17,3,4,10,23,28,-5,13,0.76,21.7,19.3,+2.4,+0.14,
17,18,Atlético,17,3,2,12,16,35,-19,11,0.65,21.2,26.0,-4.8,-0.28,
