,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,Cruz Azul,10,7,1,2,24,14,+10,22,2.20,18.5,14.6,+3.8,+0.38,
1,2,León,10,7,0,3,23,14,+9,21,2.10,19.3,15.0,+4.4,+0.44,
2,3,Santos,10,5,2,3,14,14,0,17,1.70,16.6,14.9,+1.7,+0.17,
3,4,América,10,5,2,3,11,11,0,17,1.70,11.9,14.5,-2.6,-0.26,
4,5,Guadalajara,10,4,4,2,13,11,+2,16,1.60,13.4,14.5,-1.1,-0.11,
5,6,UNAM,10,4,3,3,20,19,+1,15,1.50,13.1,19.6,-6.5,-0.65,
6,7,UANL,10,4,2,4,13,10,+3,14,1.40,13.6,12.8,+0.7,+0.07,
7,8,FC Juárez,10,4,2,4,20,18,+2,14,1.40,16.5,16.4,+0.1,+0.01,
8,9,Morelia,10,4,2,4,17,16,+1,14,1.40,16.2,17.4,-1.3,-0.13,
9,10,Puebla,10,4,2,4,7,7,0,14,1.40,9.0,14.0,-5.0,-0.50,
10,11,Pachuca,10,4,2,4,11,12,-1,14,1.40,16.0,12.2,+3.8,+0.38,
11,12,Querétaro,10,4,2,4,13,15,-2,14,1.40,11.7,13.8,-2.1,-0.21,
12,13,Atlético,10,3,4,3,11,15,-4,13,1.30,14.4,10.5,+3.9,+0.39,
13,14,Necaxa,10,3,2,5,17,16,+1,11,1.10,13.2,11.1,+2.1,+0.21,
14,15,Toluca,10,2,4,4,16,18,-2,10,1.00,12.5,18.6,-6.1,-0.61,
15,16,Tijuana,10,2,3,5,10,16,-6,9,0.90,12.2,11.1,+1.1,+0.11,
16,17,Atlas,10,3,0,7,10,17,-7,9,0.90,12.4,13.7,-1.4,-0.14,
17,18,Monterrey,10,0,5,5,10,17,-7,5,0.50,16.8,12.4,+4.4,+0.44,
