,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,Monterrey,17,13,1,3,35,14,+21,40,2.35,31.1,17.0,+14.1,+0.83,→ Quarter-finals
1,2,América,17,9,7,1,36,21,+15,34,2.00,31.0,17.3,+13.7,+0.81,→ Quarter-finals
2,3,Guadalajara,17,10,4,3,28,18,+10,34,2.00,21.6,22.5,-0.9,-0.05,→ Quarter-finals
3,4,Toluca,17,9,5,3,34,19,+15,32,1.88,29.1,22.0,+7.0,+0.41,→ Quarter-finals
4,5,Pachuca,17,10,1,6,32,24,+8,31,1.82,28.8,22.5,+6.3,+0.37,→ Reclassification
5,6,León,17,8,6,3,23,13,+10,30,1.76,23.7,18.3,+5.4,+0.32,→ Reclassification
6,7,UANL,17,7,4,6,20,17,+3,25,1.47,26.4,16.6,+9.9,+0.58,→ Reclassification
7,8,Cruz Azul,17,7,3,7,21,22,-1,24,1.41,20.9,19.3,+1.6,+0.09,→ Reclassification
8,9,Atlas,17,4,9,4,27,22,+5,21,1.24,23.3,22.9,+0.4,+0.02,→ Reclassification
9,10,Querétaro,17,4,8,5,16,21,-5,20,1.18,16.6,23.7,-7.0,-0.41,→ Reclassification
10,11,Puebla,17,6,2,9,26,32,-6,20,1.18,21.7,29.2,-7.5,-0.44,→ Reclassification
11,12,Atlético,17,5,4,8,16,21,-5,19,1.12,19.0,25.2,-6.2,-0.37,→ Reclassification
12,13,Santos,17,5,4,8,23,37,-14,19,1.12,27.7,23.9,+3.8,+0.22,
13,14,UNAM,17,5,3,9,24,32,-8,18,1.06,25.4,28.5,-3.1,-0.18,
14,15,Tijuana,17,3,7,7,19,29,-10,16,0.94,21.7,22.0,-0.3,-0.02,
15,16,FC Juárez,17,3,6,8,17,25,-8,15,0.88,17.9,25.7,-7.7,-0.46,
16,17,Necaxa,17,3,5,9,16,24,-8,14,0.82,14.9,27.3,-12.4,-0.73,
17,18,Mazatlán,17,2,1,14,19,41,-22,7,0.41,16.9,33.8,-16.9,-0.99,
