,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,América,17,12,2,3,38,17,+21,38,2.24,24.7,15.6,+9.2,+0.54,→ Quarter-finals
1,2,Monterrey,17,10,5,2,29,13,+16,35,2.06,26.0,15.7,+10.2,+0.60,→ Quarter-finals
2,3,Santos,17,10,3,4,38,21,+17,33,1.94,24.9,24.8,+0.1,+0.01,→ Quarter-finals
3,4,Pachuca,17,9,5,3,28,15,+13,32,1.88,23.0,13.5,+9.5,+0.56,→ Quarter-finals
4,5,UANL,17,9,3,5,24,14,+10,30,1.76,20.8,16.3,+4.6,+0.27,→ Reclassification
5,6,Toluca,17,7,6,4,27,23,+4,27,1.59,24.0,26.7,-2.7,-0.16,→ Reclassification
6,7,Cruz Azul,17,7,3,7,26,34,-8,24,1.41,19.8,23.8,-4.0,-0.23,→ Reclassification
7,8,Puebla,17,4,10,3,25,23,+2,22,1.29,19.3,20.0,-0.7,-0.04,→ Reclassification
8,9,Guadalajara,17,5,7,5,19,17,+2,22,1.29,23.8,16.5,+7.3,+0.43,→ Reclassification
9,10,León,17,6,4,7,25,29,-4,22,1.29,21.1,23.9,-2.9,-0.17,→ Reclassification
10,11,FC Juárez,17,4,7,6,17,18,-1,19,1.12,17.0,18.0,-1.0,-0.06,→ Reclassification
11,12,Necaxa,17,5,4,8,19,26,-7,19,1.12,17.3,21.6,-4.2,-0.25,→ Reclassification
12,13,Atlético,17,4,6,7,15,23,-8,18,1.06,15.2,26.5,-11.2,-0.66,
13,14,Mazatlán,17,3,8,6,17,24,-7,17,1.00,15.5,26.7,-11.2,-0.66,
14,15,Tijuana,17,4,5,8,18,30,-12,17,1.00,18.3,18.6,-0.3,-0.02,
15,16,UNAM,17,2,8,7,21,31,-10,14,0.82,22.3,20.2,+2.1,+0.12,
16,17,Atlas,17,3,4,10,16,27,-11,13,0.76,20.2,20.4,-0.2,-0.01,
17,18,Querétaro,17,1,6,10,18,35,-17,9,0.53,19.9,24.2,-4.4,-0.26,
