,rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
0,1,León,14,9,5,0,33,15,+18,32,2.29,26.3,14.4,+11.9,+0.85,14,7,1,6,28,22,+6,22,1.57,22.5,27.8,-5.3,-0.38
1,2,Santos,14,12,2,0,36,11,+25,38,2.71,31.9,13.8,+18.1,+1.29,14,4,4,6,18,28,-10,16,1.14,21.1,22.5,-1.3,-0.09
2,3,América,14,7,3,4,23,17,+6,24,1.71,23.6,17.2,+6.4,+0.46,14,6,6,2,20,16,+4,24,1.71,16.9,18.1,-1.2,-0.09
3,4,UANL,14,8,5,1,26,10,+16,29,2.07,22.3,13.5,+8.7,+0.62,14,4,5,5,13,14,-1,17,1.21,14.8,17.1,-2.3,-0.17
4,5,Cruz Azul,14,8,4,2,30,16,+14,28,2.00,23.3,13.6,+9.7,+0.69,14,4,5,5,19,22,-3,17,1.21,20.5,18.8,+1.7,+0.12
5,6,Querétaro,13,6,3,4,20,14,+6,21,1.62,21.5,13.7,+7.8,+0.60,15,7,3,5,24,20,+4,24,1.60,19.9,21.6,-1.6,-0.11
6,7,Necaxa,14,4,6,4,27,19,+8,18,1.29,20.0,18.4,+1.6,+0.11,14,8,0,6,23,20,+3,24,1.71,17.4,16.2,+1.2,+0.09
7,8,Morelia,14,6,2,6,25,18,+7,20,1.43,22.0,18.9,+3.2,+0.23,14,6,3,5,23,24,-1,21,1.50,19.5,24.2,-4.7,-0.33
8,9,Guadalajara,14,7,3,4,24,16,+8,24,1.71,19.6,12.9,+6.7,+0.48,14,4,5,5,17,23,-6,17,1.21,15.1,27.2,-12.1,-0.87
9,10,Pachuca,14,7,2,5,20,14,+6,23,1.64,25.6,16.1,+9.6,+0.68,14,4,4,6,23,24,-1,16,1.14,22.1,21.9,+0.2,+0.01
10,11,UNAM,14,8,3,3,27,13,+14,27,1.93,25.9,14.0,+11.9,+0.85,14,2,5,7,14,26,-12,11,0.79,14.5,26.5,-12.0,-0.86
11,12,Atlético,14,3,3,8,14,23,-9,12,0.86,20.4,18.0,+2.4,+0.17,14,6,3,5,19,23,-4,21,1.50,13.0,17.9,-4.9,-0.35
12,13,Tijuana,15,6,5,4,20,20,0,23,1.53,23.9,18.2,+5.7,+0.38,13,3,1,9,16,32,-16,10,0.77,12.7,26.1,-13.4,-1.03
13,14,Monterrey,14,5,5,4,20,18,+2,20,1.43,27.3,15.1,+12.2,+0.87,14,3,3,8,17,22,-5,12,0.86,20.1,21.1,-1.0,-0.07
14,15,FC Juárez,14,6,2,6,23,20,+3,20,1.43,20.6,16.3,+4.3,+0.31,14,3,3,8,14,25,-11,12,0.86,15.1,25.0,-9.9,-0.71
15,16,Puebla,14,4,4,6,15,19,-4,16,1.14,18.0,18.4,-0.4,-0.03,14,4,3,7,12,19,-7,15,1.07,15.1,20.9,-5.8,-0.41
16,17,Atlas,14,4,1,9,14,20,-6,13,0.93,14.6,22.9,-8.3,-0.59,14,5,2,7,15,23,-8,17,1.21,15.2,22.0,-6.8,-0.48
17,18,Toluca,14,4,3,7,22,24,-2,15,1.07,17.5,24.0,-6.5,-0.46,14,2,6,6,10,20,-10,12,0.86,10.7,21.5,-10.8,-0.77
18,19,Veracruz,9,1,3,5,8,21,-13,6,0.67,11.3,13.3,-2.0,-0.22,9,0,2,7,3,24,-21,2,0.22,6.1,19.0,-12.9,-1.44
