,dayofweek,home_team,home_xg,score,away_xg,away_team
109,Vie,Morelia,1.8,2–3,1.3,Necaxa
110,Dom,Toluca,1.2,1–1,2.6,Puebla
111,Dom,FC Juárez,1.7,1–2,0.7,Atlético
112,Sáb,Cruz Azul,2.3,5–2,0.9,América
113,Sáb,UANL,2.8,4–0,0.4,Santos
114,Sáb,Tijuana,1.7,2–2,1.0,Atlas
115,Sáb,Guadalajara,1.1,1–1,0.6,UNAM
116,Dom,Querétaro,2.3,2–1,1.5,Monterrey
117,Sáb,Cruz Azul,1.1,2–3,2.1,Morelia
118,Vie,Puebla,0.9,0–1,0.9,Atlas
119,Vie,Veracruz,1.7,1–3,0.8,UANL
120,Vie,Santos,3.3,4–1,0.8,Tijuana
121,Dom,UNAM,1.3,1–2,2.0,León
122,Dom,Atlético,1.0,0–2,0.7,Querétaro
123,Sáb,Pachuca,1.2,0–1,1.0,FC Juárez
124,Sáb,Necaxa,1.0,2–2,0.7,América
125,Dom,Monterrey,2.1,1–1,0.5,Guadalajara
126,Sáb,Querétaro,2.3,3–0,1.8,UNAM
127,Vie,Morelia,0.9,2–2,2.8,Santos
128,Vie,Tijuana,2.2,2–0,0.7,Veracruz
129,Vie,Atlas,0.5,0–2,1.6,Necaxa
130,Dom,Toluca,1.6,2–0,1.8,Pachuca
131,Sáb,América,2.5,2–0,1.5,Puebla
132,Sáb,León,1.1,3–2,0.6,Atlético
133,Sáb,UANL,1.6,1–1,1.2,Cruz Azul
134,Dom,FC Juárez,1.2,1–2,1.3,Guadalajara
135,Mar,Atlético,0.3,0–1,1.8,América
136,Mar,Veracruz,1.4,1–0,1.1,Puebla
137,Mar,Santos,1.5,1–0,0.8,Querétaro
138,Mar,UNAM,2.2,5–1,0.8,Atlas
139,Mié,Pachuca,1.6,2–3,1.4,Monterrey
140,Mié,UANL,1.3,1–0,0.2,Toluca
141,Mié,Guadalajara,1.2,0–1,0.8,Tijuana
142,Jue,Morelia,1.7,6–1,1.2,FC Juárez
