,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,América,17,10,5,2,21,10,+11,35,2.06,22.2,14.5,+7.8,+0.46,→ Quarter-finals
1,2,Atlas,17,8,5,4,21,10,+11,29,1.71,22.4,18.4,+4.0,+0.24,→ Quarter-finals
2,3,León,17,8,5,4,20,14,+6,29,1.71,26.9,20.1,+6.8,+0.40,→ Quarter-finals
3,4,UANL,17,7,7,3,26,14,+12,28,1.65,21.9,21.1,+0.8,+0.05,→ Quarter-finals
4,5,Santos,17,5,9,3,23,16,+7,24,1.41,26.7,23.7,+3.0,+0.18,→ Reclassification
5,6,Toluca,17,6,6,5,22,22,0,24,1.41,24.7,23.5,+1.2,+0.07,→ Reclassification
6,7,Puebla,17,6,6,5,16,16,0,24,1.41,22.8,23.7,-0.9,-0.05,→ Reclassification
7,8,Cruz Azul,17,5,8,4,21,17,+4,23,1.35,19.8,18.5,+1.3,+0.08,→ Reclassification
8,9,Monterrey,17,5,7,5,19,16,+3,22,1.29,21.8,17.8,+4.0,+0.24,→ Reclassification
9,10,Guadalajara,17,5,7,5,13,13,0,22,1.29,17.0,16.4,+0.6,+0.03,→ Reclassification
10,11,UNAM,17,5,6,6,17,23,-6,21,1.24,21.3,26.6,-5.3,-0.31,→ Reclassification
11,12,Atlético,17,4,8,5,19,23,-4,20,1.18,23.4,23.1,+0.2,+0.01,→ Reclassification
12,13,Mazatlán,17,5,5,7,18,24,-6,20,1.18,14.0,26.7,-12.7,-0.75,
13,14,Necaxa,17,6,2,9,16,22,-6,20,1.18,23.6,18.7,+4.9,+0.29,
14,15,Pachuca,17,4,6,7,19,21,-2,18,1.06,27.0,22.8,+4.2,+0.25,
15,16,FC Juárez,17,4,4,9,14,25,-11,16,0.94,14.4,22.2,-7.8,-0.46,
16,17,Querétaro,17,3,6,8,11,19,-8,15,0.88,18.1,25.0,-6.8,-0.40,
17,18,Tijuana,17,3,6,8,16,27,-11,15,0.88,19.2,24.5,-5.3,-0.31,
