,rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
0,1,UANL,17,11,3,3,40,18,+22,36,2.12,28.3,17.7,+10.6,+0.62,17,8,6,3,25,16,+9,30,1.76,27.0,19.0,+8.0,+0.47
1,2,Cruz Azul,17,13,2,2,32,10,+22,41,2.41,25.2,15.5,+9.7,+0.57,17,6,7,4,20,18,+2,25,1.47,18.2,22.2,-4.0,-0.23
2,3,América,17,11,4,2,33,12,+21,37,2.18,29.0,12.0,+17.0,+1.00,17,7,4,6,28,24,+4,25,1.47,24.4,20.9,+3.5,+0.21
3,4,Monterrey,17,10,6,1,40,18,+22,36,2.12,34.5,18.4,+16.1,+0.95,17,7,3,7,18,22,-4,24,1.41,17.7,22.4,-4.7,-0.27
4,5,León,17,9,1,7,29,19,+10,28,1.65,28.8,21.8,+7.0,+0.41,17,9,4,4,30,18,+12,31,1.82,25.6,18.1,+7.4,+0.44
5,6,Pachuca,17,12,3,2,44,15,+29,39,2.29,38.2,19.3,+18.9,+1.11,17,2,7,8,14,29,-15,13,0.76,18.4,24.0,-5.7,-0.33
6,7,Santos,17,11,5,1,32,12,+20,38,2.24,26.9,20.0,+6.9,+0.41,17,3,5,9,16,29,-13,14,0.82,20.7,24.4,-3.7,-0.22
7,8,Toluca,17,12,2,3,39,15,+24,38,2.24,31.1,17.7,+13.4,+0.79,17,3,4,10,16,30,-14,13,0.76,22.9,27.0,-4.2,-0.25
8,9,UNAM,17,5,9,3,28,25,+3,24,1.41,25.0,26.3,-1.3,-0.07,17,7,2,8,20,20,0,23,1.35,22.1,26.8,-4.7,-0.28
9,10,Tijuana,17,9,4,4,28,18,+10,31,1.82,30.0,17.6,+12.4,+0.73,17,4,2,11,10,26,-16,14,0.82,16.6,23.2,-6.6,-0.39
10,11,Puebla,17,5,8,4,21,23,-2,23,1.35,19.8,22.6,-2.8,-0.17,17,6,3,8,20,28,-8,21,1.24,16.6,26.2,-9.6,-0.57
11,12,Necaxa,17,6,8,3,23,19,+4,26,1.53,24.6,17.1,+7.5,+0.44,17,5,2,10,28,34,-6,17,1.00,23.8,29.2,-5.4,-0.32
12,13,Lobos BUAP,17,7,3,7,23,25,-2,24,1.41,16.7,26.9,-10.2,-0.60,17,4,3,10,15,34,-19,15,0.88,16.8,31.1,-14.3,-0.84
13,14,Guadalajara,17,5,2,10,15,21,-6,17,1.00,20.3,19.7,+0.5,+0.03,17,5,6,6,22,22,0,21,1.24,20.4,22.1,-1.7,-0.10
14,15,Morelia,17,5,4,8,22,29,-7,19,1.12,22.9,27.0,-4.1,-0.24,17,4,7,6,21,28,-7,19,1.12,17.3,24.9,-7.6,-0.45
15,16,Querétaro,17,8,3,6,17,16,+1,27,1.59,22.7,18.9,+3.9,+0.23,17,2,4,11,13,34,-21,10,0.59,17.7,30.0,-12.2,-0.72
16,17,Atlas,17,5,3,9,15,19,-4,18,1.06,20.9,18.4,+2.5,+0.15,17,3,3,11,15,36,-21,12,0.71,18.6,28.8,-10.3,-0.60
17,18,Veracruz,17,1,5,11,12,29,-17,8,0.47,13.8,26.1,-12.3,-0.72,17,1,3,13,12,45,-33,6,0.35,18.5,38.6,-20.1,-1.18
