,rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
0,1,Monterrey,17,12,3,2,35,12,+23,39,2.29,33.6,14.2,+19.5,+1.14,17,11,3,3,29,15,+14,36,2.12,23.4,18.5,+4.9,+0.29
1,2,América,17,10,6,1,37,17,+20,36,2.12,31.2,16.4,+14.8,+0.87,17,11,3,3,37,21,+16,36,2.12,24.6,16.5,+8.0,+0.47
2,3,Pachuca,17,10,3,4,33,17,+16,33,1.94,27.0,15.2,+11.8,+0.69,17,9,3,5,27,22,+5,30,1.76,24.8,20.8,+4.0,+0.23
3,4,Toluca,17,9,7,1,35,20,+15,34,2.00,31.5,25.4,+6.2,+0.36,17,7,4,6,26,22,+4,25,1.47,21.6,23.4,-1.9,-0.11
4,5,Guadalajara,17,8,5,4,22,17,+5,29,1.71,22.4,14.6,+7.8,+0.46,17,7,6,4,25,18,+7,27,1.59,22.9,24.4,-1.5,-0.09
5,6,UANL,17,8,3,6,23,16,+7,27,1.59,30.9,16.6,+14.4,+0.84,17,8,4,5,21,15,+6,28,1.65,16.4,16.3,+0.1,0.00
6,7,León,17,9,4,4,30,20,+10,31,1.82,24.1,18.5,+5.6,+0.33,17,5,6,6,18,22,-4,21,1.24,20.6,23.7,-3.1,-0.18
7,8,Santos,17,11,2,4,36,27,+9,35,2.06,31.3,23.1,+8.2,+0.48,17,4,5,8,25,31,-6,17,1.00,21.3,25.6,-4.3,-0.25
8,9,Cruz Azul,17,10,1,6,25,21,+4,31,1.82,21.9,17.7,+4.2,+0.25,17,4,5,8,22,35,-13,17,1.00,18.8,25.4,-6.6,-0.39
9,10,Puebla,17,7,5,5,27,25,+2,26,1.53,22.5,17.7,+4.8,+0.28,17,3,7,7,24,30,-6,16,0.94,18.5,31.5,-13.1,-0.77
10,11,Atlético,17,6,5,6,17,17,0,23,1.35,18.1,22.1,-3.9,-0.23,17,3,5,9,14,27,-13,14,0.82,16.0,29.6,-13.5,-0.80
11,12,Atlas,17,5,6,6,23,23,0,21,1.24,21.6,18.6,+3.0,+0.18,17,2,7,8,20,26,-6,13,0.76,21.9,24.8,-2.9,-0.17
12,13,FC Juárez,17,4,8,5,20,18,+2,20,1.18,20.0,19.0,+1.1,+0.06,17,3,5,9,14,25,-11,14,0.82,14.9,24.7,-9.8,-0.57
13,14,Necaxa,17,5,5,7,21,26,-5,20,1.18,15.0,22.6,-7.6,-0.45,17,3,4,10,14,24,-10,13,0.76,17.2,26.3,-9.0,-0.53
14,15,Tijuana,17,4,8,5,19,21,-2,20,1.18,21.5,14.5,+7.0,+0.41,17,3,4,10,18,38,-20,13,0.76,18.4,26.1,-7.6,-0.45
15,16,UNAM,17,6,5,6,28,29,-1,23,1.35,26.2,23.9,+2.4,+0.14,17,1,6,10,17,34,-17,9,0.53,21.4,24.8,-3.4,-0.20
16,17,Querétaro,17,3,9,5,20,25,-5,18,1.06,20.4,24.4,-3.9,-0.23,17,2,5,10,14,31,-17,11,0.65,16.0,23.5,-7.5,-0.44
17,18,Mazatlán,17,3,3,11,20,30,-10,12,0.71,18.5,28.4,-9.9,-0.58,17,2,6,9,16,35,-19,12,0.71,13.8,32.0,-18.2,-1.07
