,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,América,17,10,5,2,30,12,+18,35,2.06,30.5,18.6,+11.9,+0.70,→ Clausura — Quarter-finals
1,2,Cruz Azul,17,10,3,4,23,14,+9,33,1.94,28.9,15.9,+13.0,+0.76,→ Clausura — Quarter-finals
2,3,Toluca,17,9,5,3,38,23,+15,32,1.88,29.3,21.4,+7.8,+0.46,→ Clausura — Quarter-finals
3,4,Monterrey,17,9,5,3,32,19,+13,32,1.88,24.1,17.9,+6.2,+0.36,→ Clausura — Quarter-finals
4,5,UANL,17,9,4,4,34,23,+11,31,1.82,25.4,20.7,+4.7,+0.28,→ Clausura — Quarter-finals
5,6,Guadalajara,17,9,4,4,24,17,+7,31,1.82,23.2,17.9,+5.3,+0.31,→ Clausura — Quarter-finals
6,7,Pachuca,17,9,2,6,34,27,+7,29,1.71,24.6,18.7,+5.9,+0.35,→ Clausura — 7-seed match
7,8,UNAM,17,7,6,4,27,22,+5,27,1.59,20.6,22.8,-2.2,-0.13,→ Clausura — 7-seed match
8,9,Necaxa,17,7,6,4,30,29,+1,27,1.59,21.9,23.5,-1.7,-0.10,→ Clausura — 9/10 match
9,10,Querétaro,17,6,6,5,22,21,+1,24,1.41,17.0,23.8,-6.8,-0.40,→ Clausura — 9/10 match
10,11,León,17,7,3,7,23,25,-2,24,1.41,23.3,24.9,-1.6,-0.09,
11,12,FC Juárez,17,4,4,9,19,26,-7,16,0.94,17.5,21.6,-4.1,-0.24,
12,13,Atlético,17,5,1,11,25,35,-10,16,0.94,19.4,28.8,-9.4,-0.55,
13,14,Mazatlán,17,4,4,9,21,32,-11,16,0.94,22.6,25.0,-2.4,-0.14,
14,15,Santos,17,4,3,10,15,28,-13,15,0.88,17.5,28.8,-11.3,-0.66,
15,16,Tijuana,17,2,8,7,21,30,-9,14,0.82,23.0,24.6,-1.7,-0.10,
16,17,Atlas,17,3,5,9,21,31,-10,14,0.82,21.7,25.0,-3.3,-0.19,
17,18,Puebla,17,1,2,14,18,43,-25,5,0.29,18.5,29.1,-10.6,-0.62,
