,rank,team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,notes
0,1,Cruz Azul,17,13,3,1,39,12,+27,42,2.47,30.8,13.9,+16.9,+0.99,
1,2,Toluca,17,10,5,2,38,16,+22,35,2.06,25.1,20.7,+4.4,+0.26,
2,3,UANL,17,10,4,3,25,15,+10,34,2.00,27.3,17.9,+9.4,+0.55,
3,4,UNAM,17,9,4,4,21,13,+8,31,1.82,25.4,12.5,+12.9,+0.76,
4,5,Atlético,17,9,3,5,27,19,+8,30,1.76,22.4,20.2,+2.2,+0.13,
5,6,Monterrey,16,8,4,4,24,18,+6,28,1.75,24.6,20.4,+4.2,+0.26,
6,7,América,17,8,3,6,27,21,+6,27,1.59,24.8,13.2,+11.6,+0.68,
7,8,Tijuana,16,7,5,4,22,24,-2,26,1.63,21.1,25.7,-4.5,-0.28,
8,9,Guadalajara,17,7,4,6,24,15,+9,25,1.47,21.8,17.7,+4.2,+0.25,
9,10,Atlas,16,5,6,5,17,23,-6,21,1.31,15.7,17.0,-1.3,-0.08,
10,11,León,16,3,9,4,20,21,-1,18,1.13,16.6,22.6,-6.0,-0.37,
11,12,FC Juárez,17,5,2,10,22,36,-14,17,1.00,17.4,30.8,-13.4,-0.79,
12,13,Necaxa,16,3,5,8,20,26,-6,14,0.88,20.6,22.4,-1.8,-0.11,
13,14,Mazatlán,17,2,8,7,10,19,-9,14,0.82,21.6,22.5,-0.9,-0.05,
14,15,Puebla,16,4,2,10,16,29,-13,14,0.88,17.5,23.9,-6.4,-0.40,
15,16,Pachuca,17,3,4,10,20,29,-9,13,0.76,20.0,19.0,+1.0,+0.06,
16,17,Querétaro,17,3,3,11,13,31,-18,12,0.71,14.2,29.3,-15.1,-0.89,
17,18,Santos,17,2,4,11,12,30,-18,10,0.59,16.0,33.2,-17.2,-1.01,
