,rank,team,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
0,1,Cruz Azul,17,12,2,3,29,15,+14,38,2.24,29.3,14.7,+14.6,+0.86,17,10,2,5,20,12,+8,32,1.88,22.6,21.9,+0.8,+0.04
1,2,América,17,13,3,1,33,14,+19,42,2.47,23.9,17.6,+6.3,+0.37,17,8,4,5,24,22,+2,28,1.65,23.4,24.0,-0.6,-0.04
2,3,León,17,12,2,3,29,17,+12,38,2.24,29.3,18.2,+11.1,+0.65,17,8,4,5,23,20,+3,28,1.65,24.7,22.3,+2.3,+0.14
3,4,Monterrey,17,9,5,3,23,15,+8,32,1.88,33.7,16.3,+17.4,+1.02,17,7,4,6,25,19,+6,25,1.47,25.3,21.6,+3.7,+0.22
4,5,UANL,17,7,5,5,25,20,+5,26,1.53,28.5,16.0,+12.5,+0.73,17,6,7,4,21,16,+5,25,1.47,22.1,18.2,+3.9,+0.23
5,6,Santos,17,11,4,2,29,12,+17,37,2.18,26.0,16.9,+9.1,+0.53,17,3,5,9,13,21,-8,14,0.82,18.0,22.3,-4.3,-0.25
6,7,UNAM,17,7,7,3,25,13,+12,28,1.65,22.0,20.0,+2.0,+0.12,17,5,7,5,14,16,-2,22,1.29,18.1,28.8,-10.6,-0.63
7,8,Guadalajara,17,6,7,4,20,19,+1,25,1.47,22.2,18.8,+3.4,+0.20,17,6,6,5,21,19,+2,24,1.41,21.3,20.8,+0.5,+0.03
8,9,Puebla,17,5,6,6,22,18,+4,21,1.24,21.4,25.8,-4.4,-0.26,17,8,3,6,25,21,+4,27,1.59,20.9,23.9,-3.0,-0.18
9,10,Pachuca,17,6,5,6,18,18,0,23,1.35,24.5,14.5,+10.0,+0.59,17,6,7,4,20,15,+5,25,1.47,20.0,21.9,-2.0,-0.11
10,11,Toluca,17,10,3,4,32,20,+12,33,1.94,24.2,27.8,-3.5,-0.21,17,2,4,11,17,32,-15,10,0.59,20.7,28.8,-8.1,-0.48
11,12,Atlas,17,6,2,9,16,18,-2,20,1.18,20.7,18.0,+2.6,+0.16,17,4,7,6,17,17,0,19,1.12,19.9,19.0,+0.8,+0.05
12,13,Mazatlán,17,7,5,5,23,23,0,26,1.53,21.6,22.3,-0.7,-0.04,17,3,2,12,20,34,-14,11,0.65,16.6,29.2,-12.6,-0.74
13,14,Tijuana,17,8,3,6,20,18,+2,27,1.59,27.5,19.8,+7.7,+0.45,17,1,5,11,11,30,-19,8,0.47,15.7,29.0,-13.3,-0.78
14,15,Necaxa,17,6,4,7,16,23,-7,22,1.29,24.6,23.6,+1.0,+0.06,17,3,4,10,14,26,-12,13,0.76,15.0,24.3,-9.2,-0.54
15,16,Querétaro,17,9,4,4,28,17,+11,31,1.82,24.9,16.3,+8.6,+0.51,17,0,3,14,14,36,-22,3,0.18,13.5,27.7,-14.2,-0.83
16,17,FC Juárez,17,6,6,5,14,18,-4,24,1.41,19.6,20.0,-0.4,-0.02,17,2,4,11,15,30,-15,10,0.59,15.0,29.4,-14.4,-0.85
17,18,Atlético,17,4,5,8,19,33,-14,17,1.00,21.7,25.4,-3.7,-0.22,17,2,0,15,17,35,-18,6,0.35,19.3,32.5,-13.2,-0.78
